operations,split,project,diagnostics,records,source_tus
append,eval_unseen_tu,curl,5,96,32
append,eval_unseen_tu,duckdb,16,175,59
append,eval_unseen_tu,fmt,3,3,1
append,eval_unseen_tu,libuv,3,9,3
append,eval_unseen_tu,llvm,22,424,259
append,eval_unseen_tu,protobuf,11,67,46
append,eval_unseen_tu,spdlog,1,1,1
append,eval_unseen_tu,yaml-cpp,2,3,3
append,eval_unseen_tu,zlib,4,15,5
append,heldout_project,abseil,13,239,81
append,heldout_project,ffmpeg,116,2859,978
append,heldout_project,json-c,4,45,15
append,heldout_project,leveldb,8,86,39
append,train,curl,21,489,163
append,train,duckdb,33,628,245
append,train,fmt,4,4,2
append,train,libuv,13,96,32
append,train,llvm,16,218,211
append,train,protobuf,14,209,85
append,train,spdlog,2,6,6
append,train,yaml-cpp,3,26,26
append,train,zlib,11,30,10
lexical,eval_unseen_tu,curl,12,66,22
lexical,eval_unseen_tu,duckdb,32,177,59
lexical,eval_unseen_tu,fmt,3,3,1
lexical,eval_unseen_tu,libuv,6,9,3
lexical,eval_unseen_tu,llvm,80,843,281
lexical,eval_unseen_tu,protobuf,55,146,49
lexical,eval_unseen_tu,spdlog,3,3,1
lexical,eval_unseen_tu,yaml-cpp,12,18,6
lexical,eval_unseen_tu,zlib,9,15,5
lexical,heldout_project,abseil,30,229,78
lexical,heldout_project,ffmpeg,101,1962,857
lexical,heldout_project,json-c,4,17,13
lexical,heldout_project,leveldb,21,117,39
lexical,train,curl,25,316,109
lexical,train,duckdb,81,961,323
lexical,train,fmt,4,4,2
lexical,train,libuv,24,92,31
lexical,train,llvm,307,3525,1447
lexical,train,protobuf,115,777,338
lexical,train,spdlog,7,16,6
lexical,train,yaml-cpp,26,44,21
lexical,train,zlib,16,29,10
