operations,split,project,records,diagnostics,source_tus
append,eval_unseen_tu,curl,96,5,32
append,eval_unseen_tu,duckdb,15,6,5
append,eval_unseen_tu,fmt,3,3,1
append,eval_unseen_tu,libuv,9,3,3
append,eval_unseen_tu,llvm,424,22,259
append,eval_unseen_tu,protobuf,58,9,38
append,eval_unseen_tu,spdlog,1,1,1
append,eval_unseen_tu,yaml-cpp,2,2,2
append,eval_unseen_tu,zlib,15,4,5
append,heldout_project,abseil,239,13,81
append,heldout_project,ffmpeg,2859,116,978
append,heldout_project,json-c,45,4,15
append,heldout_project,leveldb,86,8,39
append,train,curl,489,21,163
append,train,duckdb,35,13,17
append,train,fmt,4,4,2
append,train,libuv,96,13,32
append,train,llvm,218,16,211
append,train,protobuf,206,14,84
append,train,spdlog,6,2,6
append,train,yaml-cpp,25,3,25
append,train,zlib,30,11,10
lexical,eval_unseen_tu,curl,66,12,22
lexical,eval_unseen_tu,duckdb,15,6,5
lexical,eval_unseen_tu,fmt,3,3,1
lexical,eval_unseen_tu,libuv,9,6,3
lexical,eval_unseen_tu,llvm,843,80,281
lexical,eval_unseen_tu,protobuf,119,49,40
lexical,eval_unseen_tu,spdlog,3,3,1
lexical,eval_unseen_tu,yaml-cpp,15,11,5
lexical,eval_unseen_tu,zlib,15,9,5
lexical,heldout_project,abseil,229,30,78
lexical,heldout_project,ffmpeg,1962,101,857
lexical,heldout_project,json-c,17,4,13
lexical,heldout_project,leveldb,117,21,39
lexical,train,curl,316,25,109
lexical,train,duckdb,102,24,34
lexical,train,fmt,4,4,2
lexical,train,libuv,92,24,31
lexical,train,llvm,3525,307,1447
lexical,train,protobuf,508,93,219
lexical,train,spdlog,16,7,6
lexical,train,yaml-cpp,41,25,20
lexical,train,zlib,29,16,10
