cohort,arm,project,instances,observed,predicted_from_diagnostic_mix,residual
eval_unseen_tu,base,curl,18,0.2778,0.2419,0.0359
eval_unseen_tu,base,duckdb,34,0.0,0.0834,-0.0834
eval_unseen_tu,base,fmt,3,0.3333,0.1667,0.1667
eval_unseen_tu,base,libuv,9,0.5556,0.2176,0.3379
eval_unseen_tu,base,llvm,17,0.0,0.0,0.0
eval_unseen_tu,base,protobuf,34,0.1765,0.1941,-0.0176
eval_unseen_tu,base,spdlog,3,0.3333,0.3333,0.0
eval_unseen_tu,base,yaml-cpp,17,0.2941,0.2941,0.0
eval_unseen_tu,base,zlib,15,0.1333,0.1836,-0.0502
eval_unseen_tu,direct_edit,curl,54,0.7593,0.7527,0.0066
eval_unseen_tu,direct_edit,duckdb,102,0.5588,0.5613,-0.0024
eval_unseen_tu,direct_edit,fmt,9,1.0,1.0,0.0
eval_unseen_tu,direct_edit,libuv,27,0.6667,0.5938,0.0729
eval_unseen_tu,direct_edit,llvm,51,0.5686,0.5784,-0.0098
eval_unseen_tu,direct_edit,protobuf,102,0.5,0.5703,-0.0703
eval_unseen_tu,direct_edit,spdlog,9,1.0,1.0,0.0
eval_unseen_tu,direct_edit,yaml-cpp,51,0.7647,0.7647,0.0
eval_unseen_tu,direct_edit,zlib,45,0.8,0.6757,0.1243
eval_unseen_tu,fuzzlang,curl,54,1.0,0.8824,0.1176
eval_unseen_tu,fuzzlang,duckdb,102,0.7843,0.837,-0.0527
eval_unseen_tu,fuzzlang,fmt,9,1.0,1.0,0.0
eval_unseen_tu,fuzzlang,libuv,27,0.8889,0.797,0.0918
eval_unseen_tu,fuzzlang,llvm,51,0.6275,0.652,-0.0245
eval_unseen_tu,fuzzlang,protobuf,102,0.7059,0.7458,-0.0399
eval_unseen_tu,fuzzlang,spdlog,9,0.7778,0.7778,0.0
eval_unseen_tu,fuzzlang,yaml-cpp,51,0.7451,0.7418,0.0033
eval_unseen_tu,fuzzlang,zlib,45,0.7778,0.7399,0.0378
eval_unseen_tu,mechanical,curl,54,0.0185,0.0397,-0.0212
eval_unseen_tu,mechanical,duckdb,102,0.0,0.007,-0.007
eval_unseen_tu,mechanical,fmt,9,0.0,0.0,0.0
eval_unseen_tu,mechanical,libuv,27,0.0741,0.0265,0.0476
eval_unseen_tu,mechanical,llvm,51,0.0,0.0,0.0
eval_unseen_tu,mechanical,protobuf,102,0.0,0.0049,-0.0049
eval_unseen_tu,mechanical,spdlog,9,0.0,0.0,0.0
eval_unseen_tu,mechanical,yaml-cpp,51,0.0784,0.0686,0.0098
eval_unseen_tu,mechanical,zlib,45,0.0444,0.0317,0.0127
heldout_project,base,abseil,45,0.0444,0.0556,-0.0111
heldout_project,base,ffmpeg,44,0.0909,0.0909,0.0
heldout_project,base,json-c,17,0.0,0.0,0.0
heldout_project,base,leveldb,44,0.0682,0.0568,0.0114
heldout_project,direct_edit,abseil,135,0.8815,0.8607,0.0207
heldout_project,direct_edit,ffmpeg,132,0.6515,0.6515,0.0
heldout_project,direct_edit,json-c,51,0.6078,0.6078,0.0
heldout_project,direct_edit,leveldb,132,0.6364,0.6576,-0.0212
heldout_project,fuzzlang,abseil,135,0.7333,0.7519,-0.0185
heldout_project,fuzzlang,ffmpeg,132,0.697,0.697,0.0
heldout_project,fuzzlang,json-c,51,0.8824,0.8824,0.0
heldout_project,fuzzlang,leveldb,132,0.7197,0.7008,0.0189
heldout_project,mechanical,abseil,135,0.0074,0.0074,0.0
heldout_project,mechanical,ffmpeg,132,0.0682,0.0682,0.0
heldout_project,mechanical,json-c,51,0.0392,0.0392,0.0
heldout_project,mechanical,leveldb,132,0.0,0.0,0.0
