cohort,arm,baseline,paired_instances,mean_difference,ci95_low,ci95_high,wins,losses,ties
eval_unseen_tu,base,mechanical,150,0.16,0.1,0.2267,25,1,124
eval_unseen_tu,base,direct_edit,150,-0.44,-0.5267,-0.3533,4,70,76
eval_unseen_tu,direct_edit,base,150,0.44,0.3533,0.5267,70,4,76
eval_unseen_tu,direct_edit,mechanical,150,0.6,0.52,0.68,90,0,60
eval_unseen_tu,fuzzlang,base,150,0.6,0.52,0.6733,90,0,60
eval_unseen_tu,fuzzlang,mechanical,150,0.76,0.6933,0.8267,114,0,36
eval_unseen_tu,fuzzlang,direct_edit,150,0.16,0.0867,0.2333,30,6,114
eval_unseen_tu,mechanical,base,150,-0.16,-0.2267,-0.1,1,25,124
eval_unseen_tu,mechanical,direct_edit,150,-0.6,-0.68,-0.52,0,90,60
heldout_project,base,mechanical,150,0.0467,0.0067,0.0867,9,2,139
heldout_project,base,direct_edit,150,-0.68,-0.7533,-0.6067,0,102,48
heldout_project,direct_edit,base,150,0.68,0.6067,0.7533,102,0,48
heldout_project,direct_edit,mechanical,150,0.7267,0.6533,0.7933,109,0,41
heldout_project,fuzzlang,base,150,0.6733,0.5933,0.7467,101,0,49
heldout_project,fuzzlang,mechanical,150,0.72,0.6467,0.7933,108,0,42
heldout_project,fuzzlang,direct_edit,150,-0.0067,-0.0733,0.06,13,14,123
heldout_project,mechanical,base,150,-0.0467,-0.0867,-0.0067,2,9,139
heldout_project,mechanical,direct_edit,150,-0.7267,-0.7933,-0.6533,0,109,41
