cohort,arm,dimension,value,n_per_seed,verified_fix_rate,std_across_seeds
eval_unseen_tu,base,language,c,76,0.1842,0.0
eval_unseen_tu,base,language,c++,74,0.1486,0.0
eval_unseen_tu,base,project,curl,18,0.2778,0.0
eval_unseen_tu,base,project,duckdb,34,0.0,0.0
eval_unseen_tu,base,project,fmt,3,0.3333,0.0
eval_unseen_tu,base,project,libuv,9,0.5556,0.0
eval_unseen_tu,base,project,llvm,17,0.0,0.0
eval_unseen_tu,base,project,protobuf,34,0.1765,0.0
eval_unseen_tu,base,project,spdlog,3,0.3333,0.0
eval_unseen_tu,base,project,yaml-cpp,17,0.2941,0.0
eval_unseen_tu,base,project,zlib,15,0.1333,0.0
heldout_project,base,language,c,61,0.0656,0.0
heldout_project,base,language,c++,89,0.0562,0.0
heldout_project,base,project,abseil,45,0.0444,0.0
heldout_project,base,project,ffmpeg,44,0.0909,0.0
heldout_project,base,project,json-c,17,0.0,0.0
heldout_project,base,project,leveldb,44,0.0682,0.0
eval_unseen_tu,direct_edit,language,c,76,0.6535,0.0434
eval_unseen_tu,direct_edit,language,c++,74,0.6306,0.0127
eval_unseen_tu,direct_edit,project,curl,18,0.7593,0.0524
eval_unseen_tu,direct_edit,project,duckdb,34,0.5588,0.0416
eval_unseen_tu,direct_edit,project,fmt,3,1.0,0.0
eval_unseen_tu,direct_edit,project,libuv,9,0.6667,0.0
eval_unseen_tu,direct_edit,project,llvm,17,0.5686,0.0734
eval_unseen_tu,direct_edit,project,protobuf,34,0.5,0.024
eval_unseen_tu,direct_edit,project,spdlog,3,1.0,0.0
eval_unseen_tu,direct_edit,project,yaml-cpp,17,0.7647,0.0
eval_unseen_tu,direct_edit,project,zlib,15,0.8,0.0544
heldout_project,direct_edit,language,c,61,0.6393,0.0354
heldout_project,direct_edit,language,c++,89,0.7603,0.0106
heldout_project,direct_edit,project,abseil,45,0.8815,0.0105
heldout_project,direct_edit,project,ffmpeg,44,0.6515,0.0467
heldout_project,direct_edit,project,json-c,17,0.6078,0.0555
heldout_project,direct_edit,project,leveldb,44,0.6364,0.0186
eval_unseen_tu,fuzzlang,language,c,76,0.807,0.0062
eval_unseen_tu,fuzzlang,language,c++,74,0.7523,0.023
eval_unseen_tu,fuzzlang,project,curl,18,1.0,0.0
eval_unseen_tu,fuzzlang,project,duckdb,34,0.7843,0.0367
eval_unseen_tu,fuzzlang,project,fmt,3,1.0,0.0
eval_unseen_tu,fuzzlang,project,libuv,9,0.8889,0.0
eval_unseen_tu,fuzzlang,project,llvm,17,0.6275,0.0734
eval_unseen_tu,fuzzlang,project,protobuf,34,0.7059,0.024
eval_unseen_tu,fuzzlang,project,spdlog,3,0.7778,0.1571
eval_unseen_tu,fuzzlang,project,yaml-cpp,17,0.7451,0.0277
eval_unseen_tu,fuzzlang,project,zlib,15,0.7778,0.0314
heldout_project,fuzzlang,language,c,61,0.7486,0.0386
heldout_project,fuzzlang,language,c++,89,0.7266,0.0295
heldout_project,fuzzlang,project,abseil,45,0.7333,0.0314
heldout_project,fuzzlang,project,ffmpeg,44,0.697,0.0386
heldout_project,fuzzlang,project,json-c,17,0.8824,0.048
heldout_project,fuzzlang,project,leveldb,44,0.7197,0.0283
eval_unseen_tu,mechanical,language,c,76,0.0219,0.0164
eval_unseen_tu,mechanical,language,c++,74,0.018,0.0064
eval_unseen_tu,mechanical,project,curl,18,0.0185,0.0262
eval_unseen_tu,mechanical,project,duckdb,34,0.0,0.0
eval_unseen_tu,mechanical,project,fmt,3,0.0,0.0
eval_unseen_tu,mechanical,project,libuv,9,0.0741,0.0524
eval_unseen_tu,mechanical,project,llvm,17,0.0,0.0
eval_unseen_tu,mechanical,project,protobuf,34,0.0,0.0
eval_unseen_tu,mechanical,project,spdlog,3,0.0,0.0
eval_unseen_tu,mechanical,project,yaml-cpp,17,0.0784,0.0277
eval_unseen_tu,mechanical,project,zlib,15,0.0444,0.0314
heldout_project,mechanical,language,c,61,0.0601,0.0204
heldout_project,mechanical,language,c++,89,0.0037,0.0053
heldout_project,mechanical,project,abseil,45,0.0074,0.0105
heldout_project,mechanical,project,ffmpeg,44,0.0682,0.0321
heldout_project,mechanical,project,json-c,17,0.0392,0.0277
heldout_project,mechanical,project,leveldb,44,0.0,0.0
