diagnostic_name,diagnostic_id,component,portable_injector_count,languages,operations,target_is_catalog_error,strict_diagnostic_covered
err_32_bit_builtin_64_bit_tgt,2869,Sema,1,c++,append,true,true
err_abi_tag_on_redeclaration,2871,Sema,1,c++,replace,true,true
err_abstract_type_in_decl,2872,Sema,4,c++,replace,true,true
err_acc_clause_appertainment,2875,Sema,1,c++,append,true,true
err_acc_construct_appertainment,2884,Sema,1,c++,append,true,true
err_acc_construct_one_clause_of,2885,Sema,1,c++,append,true,true
err_acc_duplicate_clause_disallowed,2893,Sema,1,c++,append,true,true
err_acc_int_arg_invalid,2900,Sema,1,c++,append,true,true
err_acc_int_expr_requires_integer,2904,Sema,1,c++,append,true,true
err_acc_invalid_clause,1525,Parse,1,c++,append,true,true
err_acc_invalid_default_type,2907,Sema,1,c++,append,true,true
err_acc_invalid_directive,1527,Parse,1,c++,append,true,true
err_acc_loop_not_for_loop,2911,Sema,1,c++,append,true,true
err_acc_not_a_var_ref,2918,Sema,1,c++,append,true,true
err_acc_not_a_var_ref_cache,2919,Sema,1,c++,append,true,true
err_acc_not_a_var_ref_use_device_declare,2920,Sema,1,c++,append,true,true
err_acc_reduction_type,2926,Sema,1,c++,append,true,true
err_acc_size_expr_value,2929,Sema,1,c++,append,true,true
err_acc_var_not_pointer_type,2938,Sema,1,c++,append,true,true
err_access,2939,Sema,3,c++,append;replace,true,true
err_access_base_ctor,2940,Sema,4,c++,replace,true,true
err_access_ctor,2941,Sema,6,c++,append;insert,true,true
err_access_decl,2942,Sema,4,c++,insert,true,true
err_access_dtor_field,,Sema,3,c++,append,true,false
err_access_dtor_var,2949,Sema,5,c++,append;replace,true,true
err_access_friend_function,,Sema,2,c++,append,true,false
err_addr_ovl_ambiguous,,Sema,2,c++,append,true,false
err_addr_ovl_no_qualifier,,Sema,4,c++,append,true,false
err_addr_ovl_no_viable,2956,Sema,1,c++,replace,true,true
err_address_of_label_outside_fn,1535,Parse,1,c++,replace,true,true
err_addrof_function_disabled_by_enable_if_attr,2963,Sema,1,c++,insert,true,true
err_alias_declaration_not_identifier,1536,Parse,6,c++,insert;replace,true,true
err_alias_declaration_specialization,1538,Parse,12,c++,replace,true,true
err_alias_is_definition,2966,Sema,1,c++,insert,true,true
err_alias_template_extra_headers,2969,Sema,1,c++,append,true,true
err_align_value_attribute_argument_not_int,2970,Sema,1,c,insert,true,true
