injector_id,diagnostic_name,diagnostic_id,language,operation,schema_version,source_recipe_id,support,target_is_catalog_error,strict_diagnostic_covered
fuzzlang-v2-aa4e640de73111a6,err_32_bit_builtin_64_bit_tgt,2869,c++,append,2,,1,true,true
fuzzlang-v1-71658a4f6628482d,err_abi_tag_on_redeclaration,2871,c++,replace,1,recipe-f3d9520ea3b9,1,true,true
fuzzlang-v1-408e67321c6ef194,err_abstract_type_in_decl,2872,c++,replace,1,recipe-0e63c8dbd9cc,1,true,true
fuzzlang-v1-9984bf2da5d894ec,err_abstract_type_in_decl,2872,c++,replace,1,recipe-c2fb7acc93a8,1,true,true
fuzzlang-v1-b0402079ec2ea5a4,err_abstract_type_in_decl,2872,c++,replace,1,recipe-78993c662aa7,1,true,true
fuzzlang-v1-b795c1a081381f4e,err_abstract_type_in_decl,2872,c++,replace,1,recipe-316a784872bc,1,true,true
fuzzlang-v2-4bfec3d471d7dc41,err_acc_clause_appertainment,2875,c++,append,2,,1,true,true
fuzzlang-v2-9627c5d6c89ecf98,err_acc_construct_appertainment,2884,c++,append,2,,1,true,true
fuzzlang-v2-6218820219d346f0,err_acc_construct_one_clause_of,2885,c++,append,2,,1,true,true
fuzzlang-v2-87b97d3981b62933,err_acc_duplicate_clause_disallowed,2893,c++,append,2,,1,true,true
fuzzlang-v2-3378881dbc85cd84,err_acc_int_arg_invalid,2900,c++,append,2,,1,true,true
fuzzlang-v2-965572a6e6d9574e,err_acc_int_expr_requires_integer,2904,c++,append,2,,1,true,true
fuzzlang-v2-836171fce2bf7480,err_acc_invalid_clause,1525,c++,append,2,,1,true,true
fuzzlang-v2-e1ed2723b24975b6,err_acc_invalid_default_type,2907,c++,append,2,,1,true,true
fuzzlang-v2-f76678804c4092f2,err_acc_invalid_directive,1527,c++,append,2,,1,true,true
fuzzlang-v2-68f57e45284472c5,err_acc_loop_not_for_loop,2911,c++,append,2,,1,true,true
fuzzlang-v2-017caf93c749007b,err_acc_not_a_var_ref,2918,c++,append,2,,1,true,true
fuzzlang-v2-9bfe749d58b64a4f,err_acc_not_a_var_ref_cache,2919,c++,append,2,,1,true,true
fuzzlang-v2-5c3b79bac13a241d,err_acc_not_a_var_ref_use_device_declare,2920,c++,append,2,,1,true,true
fuzzlang-v2-7d9dd99926eef028,err_acc_reduction_type,2926,c++,append,2,,1,true,true
fuzzlang-v2-7d6bd8440c213dc9,err_acc_size_expr_value,2929,c++,append,2,,1,true,true
fuzzlang-v2-73c1444bf99d318d,err_acc_var_not_pointer_type,2938,c++,append,2,,1,true,true
fuzzlang-v2-3ebc92d97001bc3e,err_access,2939,c++,append,2,,1,true,true
fuzzlang-v1-78ca03635144549f,err_access,2939,c++,replace,1,,1,true,true
fuzzlang-v1-8f3f52fc38ee0171,err_access,2939,c++,replace,1,,1,true,true
fuzzlang-v1-9f09d5728f45f778,err_access_base_ctor,2940,c++,replace,1,recipe-522824cebded,1,true,true
fuzzlang-v1-ae03ab95314d997c,err_access_base_ctor,2940,c++,replace,1,recipe-36e1db276280,1,true,true
fuzzlang-v1-cf89b1ec5a15ebff,err_access_base_ctor,2940,c++,replace,1,recipe-79f5f1898b6f,1,true,true
fuzzlang-v1-ef1a426f04df6e6f,err_access_base_ctor,2940,c++,replace,1,recipe-e91cd20d78ac,1,true,true
fuzzlang-v2-f917e91ced7ac299,err_access_ctor,2941,c++,append,2,,1,true,true
fuzzlang-v1-106150478fa236d2,err_access_ctor,2941,c++,insert,1,recipe-efb8b24ffb9c,1,true,true
fuzzlang-v1-1fa6acb0fe0b7430,err_access_ctor,2941,c++,insert,1,,1,true,true
fuzzlang-v1-7d8dc9f1af16001b,err_access_ctor,2941,c++,insert,1,recipe-69381dac7c09,1,true,true
fuzzlang-v1-8b5f9344879c7726,err_access_ctor,2941,c++,insert,1,recipe-caa3d8d1eeb7,1,true,true
fuzzlang-v1-99937bc950a3bae2,err_access_ctor,2941,c++,insert,1,recipe-4f23a40c17dd,1,true,true
