metric,value
all_tablegen_error_diagnostic_types,3891
invocation_environment_diagnostic_types,402
audited_out_of_scope_diagnostic_names,1789
out_of_scope_and_invocation_overlap,235
out_of_scope_code_diagnostic_types,1554
strict_c_cpp_code_diagnostic_types,1935
strict_injector_covered_all_diagnostic_types,1178
strict_injector_covered_paper_scope_types,1029
strict_injector_covered_out_of_scope_types,149
strict_injector_covered_invocation_environment_types,0
strict_injector_paper_scope_coverage_percent,53.2
