diagnostic_name,component,tablegen_message,test_reachable,emission_context_available
err_64_bit_builtin_32_bit_tgt,Sema,this builtin is only available on 64-bit targets,true,true
err__Pragma_malformed,Lex,_Pragma takes a parenthesized string literal,true,true
err_acc_branch_in_out_compute_construct,Sema,invalid %select{branch|return|throw}0 %select{out of|into}1 OpenACC Compute/Combined Construct,true,true
err_acc_clause_after_device_type,Sema,OpenACC clause '%0' may not follow a '%1' clause in a '%2' construct,true,true
err_acc_clause_cannot_combine,Sema,OpenACC clause '%0' may not appear on the same construct as a '%1' clause on a '%2' construct,true,true
err_acc_clause_cannot_combine_before_device_type,Sema,OpenACC clause '%1' after 'device_type' clause on a '%0' construct conflicts with the '%2' clause before the first 'device_type',false,true
err_acc_clause_cannot_combine_same_device_type,Sema,OpenACC clause '%1' cannot combine with previous '%2' clause%select{| in the same 'device_type' region}3 on a '%0' directive,true,true
err_acc_clause_conflicts_prev_dev_type,Sema,"OpenACC '%0' clause applies to 'device_type' '%1', which conflicts with previous '%2' clause",false,true
err_acc_clause_in_clause_region,Sema,loop with a '%0' clause may not exist in the region of a '%1' clause%select{| on a '%3' construct}2,false,true
err_acc_clause_multiple_loops,Sema,more than one for-loop in a loop associated with OpenACC '%0' construct with a '%1' clause,false,true
err_acc_clause_routine_one_of_in_region,Sema,"OpenACC 'routine' construct must have at least one 'gang', 'seq', 'vector', or 'worker' clause that applies to each 'device_type'",false,true
err_acc_collapse_loop_count,Sema,"OpenACC 'collapse' clause loop count must be a %select{constant expression|positive integer value, evaluated to %1}0",false,true
err_acc_decl_for_routine,Sema,expected function or lambda declaration for 'routine' construct,false,true
err_acc_declare_clause_at_global,Sema,OpenACC '%0' clause on a 'declare' directive is not allowed at global or namespace scope,false,true
err_acc_declare_extern,Sema,'extern' variable may not be referenced by '%0' clause on an OpenACC 'declare' directive,false,true
err_acc_declare_required_clauses,Sema,no valid clauses specified in OpenACC 'declare' directive,true,true
err_acc_declare_same_scope,Sema,variable appearing in '%0' clause of OpenACC 'declare' directive must be in the same scope as the directive,false,true
err_acc_device_type_multiple_archs,Sema,OpenACC 'device_type' clause on a '%0' construct only permits one architecture,false,true
err_acc_duplicate_bind,Sema,multiple 'routine' directives with 'bind' clauses are not permitted to refer to the same function,false,true
err_acc_duplicate_unnamed_bind,Sema,OpenACC 'bind' clause on a declaration must bind to the same name as previous 'bind' clauses,false,true
err_acc_expected_reduction_operator,Parse,"missing reduction operator, expected '+', '*', 'max', 'min', '&', '|', '^', '&&', or '||', follwed by a ':'",false,true
err_acc_gang_dim_value,Sema,"argument to 'gang' clause dimension must be %select{a constant expression|1, 2, or 3: evaluated to %1}0",false,true
err_acc_gang_multiple_elt,Sema,OpenACC 'gang' clause may have at most one %select{unnamed or 'num'|'dim'|'static'}0 argument,false,true
err_acc_gang_reduction_conflict,Sema,%select{OpenACC 'gang' clause with a 'dim' value greater than 1|OpenACC 'reduction' clause}0 cannot appear on the same '%1' construct as a %select{'reduction' clause|'gang' clause with a 'dim' value greater than 1}0,false,true
err_acc_gang_reduction_numgangs_conflict,Sema,OpenACC '%0' clause cannot appear on the same '%2' construct as a '%1' clause %select{inside a compute construct with a|and a}3 'num_gangs' clause with more than one argument,false,true
err_acc_incorrect_bind_arg,Parse,expected identifier or string literal in OpenACC 'bind' clause,false,true
err_acc_insufficient_loops,Sema,'%0' clause specifies a loop count greater than the number of available loops,true,true
err_acc_int_expr_explicit_conversion,Sema,OpenACC integer expression requires explicit conversion from %0 to %1,false,true
err_acc_int_expr_incomplete_class_type,Sema,OpenACC integer expression has incomplete class type %0,false,true
err_acc_int_expr_multiple_conversions,Sema,multiple conversions from expression type %0 to an integral type,true,true
err_acc_intervening_code,Sema,inner loops must be tightly nested inside a '%0' clause on a '%1' construct,false,true
err_acc_invalid_atomic,Sema,statement associated with OpenACC 'atomic%select{| %1}0' directive is invalid,false,true
err_acc_invalid_default_clause_kind,Parse,invalid value for 'default' clause; expected 'present' or 'none',true,true
err_acc_invalid_in_loop,Sema,%select{OpenACC '%3' construct|while loop|do loop}0 cannot appear in intervening code of a '%1' with a '%2' clause,false,true
err_acc_invalid_modifier,Sema,OpenACC '%0' modifier not valid on '%1' clause,false,true
err_acc_invalid_open_paren,Parse,expected clause-list or newline in OpenACC directive,false,true
err_acc_invalid_reduction_operator,Parse,"invalid reduction operator,  expected '+', '*', 'max', 'min', '&', '|', '^', '&&', or '||'",false,true
err_acc_invalid_tag_kind,Parse,invalid tag %0 on '%1' %select{directive|clause}2,false,true
err_acc_link_not_extern,Sema,variable referenced by 'link' clause not in global or namespace scope must be marked 'extern',false,true
err_acc_loop_not_monotonic,Sema,"OpenACC '%0' variable must monotonically increase or decrease ('++', '--', or compound assignment)",false,true
err_acc_loop_terminating_condition,Sema,OpenACC '%0' construct must have a terminating condition,false,true
err_acc_loop_variable,Sema,OpenACC '%0' construct must have initialization clause in canonical form ('var = init' or 'T var = init'),true,true
err_acc_loop_variable_type,Sema,"loop variable of loop associated with an OpenACC '%0' construct must be of integer, pointer, or random-access-iterator type (is %1)",false,true
err_acc_magic_static_in_routine,Sema,function static variables are not permitted in functions to which an OpenACC 'routine' directive applies,false,true
err_acc_missing_directive,Parse,expected OpenACC directive,true,true
err_acc_modifier,Parse,%enum_select<ACCModifier>{%Unknown{unknown}|%Duplicate{duplicate}}0 modifier %1 in OpenACC modifier-list on '%2' clause,false,true
err_acc_multiple_references,Sema,variable referenced in '%0' clause of OpenACC 'declare' directive was already referenced,false,true
err_acc_num_arg_conflict,Sema,'%0' argument to '%1' clause not allowed on a '%2' construct%select{| associated with a '%4' construct}3 that has a '%5' clause,false,true
err_acc_num_arg_conflict_reverse,Sema,'%0' clause not allowed on a 'kernels loop' construct that has a '%1' clause with a%select{n| 'num'}2 argument,false,true
err_acc_num_gangs_num_args,Sema,"%select{no|too many}0 integer expression arguments provided to OpenACC 'num_gangs' %select{|clause: '%1' directive expects maximum of %2, %3 were provided}0",false,true
err_acc_reduction_num_gangs_conflict,Sema,OpenACC '%1' clause %select{|with more than 1 argument }0may not appear on a '%2' construct with a '%3' clause%select{ with more than 1 argument|}0,false,true
err_acc_reduction_recipe_no_op,Sema,variable of type %0 referenced in OpenACC 'reduction' clause does not have a valid operation available,true,true
err_acc_routine_not_func,Sema,OpenACC routine name %0 does not name a function,false,true
err_acc_routine_overload_set,Sema,OpenACC routine name %0 names a set of overloads,false,true
err_acc_subarray_base_plus_length_out_of_range,Sema,OpenACC sub-array specified range [%0:%1] would be out of the range of the subscripted array size of %2,false,true
err_acc_subarray_function_type,Sema,OpenACC sub-array cannot be of function type %0,false,true
err_acc_subarray_incomplete_type,Sema,OpenACC sub-array base is of incomplete type %0,false,true
err_acc_subarray_negative,Sema,OpenACC sub-array %select{lower bound|length}0 evaluated to negative value %1,false,true
err_acc_subarray_no_length,Sema,OpenACC sub-array length is unspecified and cannot be inferred because the subscripted value is %select{not an array|an array of unknown bound}0,false,true
