diag_name,component,message_template,covered_only_by_opportunistic_record
err_access_dtor_exception,Sema,exception object of type %0 has %select{private|protected}1 destructor,false
err_access_dtor_field,Sema,field of type %1 has %select{private|protected}2 destructor,false
err_access_dtor_ivar,Sema,instance variable of type %0 has %select{private|protected}1 destructor,false
err_access_dtor_vbase,Sema,inherited virtual base class %1 has %select{private|protected}2 destructor,false
err_access_friend_function,Sema,friend function %1 is a %select{private|protected}0 member of %3,false
err_access_lambda_capture,Sema,capture of variable '%0' as type %1 calls %select{private|protected}3 %select{default |copy |move |*ERROR* |*ERROR* |*ERROR* |}2constructor,false
err_addr_ovl_ambiguous,Sema,address of overloaded function %0 is ambiguous,false
err_addr_ovl_no_qualifier,Sema,cannot form member pointer of type %0 without '&' and class name,false
err_addr_ovl_no_viable,Sema,address of overloaded function %0 does not match required type %1,true
err_addr_ovl_not_func_ptrref,Sema,address of overloaded function %0 cannot be converted to type %1,false
err_address_of_function_with_pass_object_size_params,Sema,cannot take address of function %0 because parameter %1 has pass_object_size attribute,false
err_addrof_function_constraints_not_satisfied,Sema,cannot take address of function %0 because its constraints are not satisfied,false
err_alias_after_tentative,Sema,alias definition of %0 after tentative definition,false
err_alias_declaration_pack_expansion,Parse,alias declaration cannot be a pack expansion,false
err_aligned_allocation_unavailable,Sema,aligned %select{allocation|deallocation}0 function of type '%1' is %select{only|not}4 available on %2%select{ %3 or newer|}4,false
err_alignment_dependent_typedef_name,Sema,requested alignment is dependent but declaration is not dependent,false
err_alignment_too_big,Sema,requested alignment must be %0 or smaller,false
err_alignment_too_small,Sema,requested alignment must be %0 or greater,false
err_allocation_of_abstract_type,Sema,allocating an object of abstract class type %0,true
err_ambiguous_destructor,Sema,destructor of class %0 is ambiguous,false
err_ambiguous_suitable_delete_member_function_found,Sema,multiple suitable %0 functions in %1,false
err_ambiguous_tag_hiding,Sema,a type named %0 is hidden by a declaration in a different namespace,false
err_anonymous_record_bad_member,Sema,anonymous %select{struct|union}0 can only contain non-static data members,false
err_anonymous_record_with_static,Sema,static members cannot be declared in an anonymous %select{struct|union}0,false
err_arg_is_not_destructurable,Sema,type %0 cannot be bound,false
err_argument_invalid_range,Sema,"argument value %0 is outside the valid range [%1, %2]",true
err_argument_not_contiguous_bit_field,Sema,argument %0 value should represent a contiguous bit field,false
err_argument_not_multiple,Sema,argument should be a multiple of %0,false
err_argument_not_shifted_byte,Sema,argument should be an 8-bit value shifted by a multiple of 8 bits,false
err_argument_not_shifted_byte_or_xxff,Sema,"argument should be an 8-bit value shifted by a multiple of 8 bits, or in the form 0x??FF",false
err_arith_conv_enum_float_cxx26,Sema,invalid %sub{select_arith_conv_kind}0 %select{floating-point|enumeration}1 type %2 %plural{2:with|4:from|:and}0 %select{enumeration|floating-point}1 type %3,false
err_array_designator_non_array,Sema,array designator cannot initialize non-array type %0,false
err_array_init_non_constant_array,Sema,"cannot initialize array %diff{of type $ with non-constant array of type $|with different type of array}0,1",false
err_array_init_utf8_string_into_char,Sema,initialization of %select{|signed }0char array with UTF-8 string literal is not permitted by %select{'-fchar8_t'|C++20}1,false
err_array_size_explicit_conversion,Sema,array size expression of type %0 requires explicit conversion to type %1,false
err_array_size_not_integral,Sema,"array size expression must have integral or %select{|unscoped }0enumeration type, not %1",false
err_asm_empty,Parse,__asm used with no assembly instructions,false
err_asm_empty_symbolic_operand_name,AST,empty symbolic operand name in inline assembly string,false
err_asm_invalid_escape,AST,invalid %% escape in inline assembly string,false
err_asm_invalid_input_size,Sema,invalid input size for constraint '%0',false
err_asm_invalid_operand_number,AST,invalid operand number in inline asm string,false
err_asm_invalid_output_size,Sema,invalid output size for constraint '%0',false
err_asm_invalid_type,Common,invalid type %0 in asm %select{input|output}1,false
err_asm_unknown_symbolic_operand_name,AST,unknown symbolic operand name in inline assembly string,false
err_asm_unterminated_symbolic_operand_name,AST,unterminated symbolic operand name in inline assembly string,false
err_asm_unwind_and_goto,Sema,unwind clobber cannot be used with asm goto,false
err_atomic_builtin_must_be_pointer_intfltptr,Sema,"address argument to atomic builtin must be a pointer to integer, floating-point or pointer (%0 invalid)",false
err_atomic_builtin_pointer_size,Sema,"address argument to atomic builtin must be a pointer to 1,2,4,8 or 16 byte type (%0 invalid)",false
err_atomic_load_store_uses_lib,Sema,atomic %select{load|store}0 requires runtime support that is not available for this target,false
err_atomic_op_needs_atomic_int,Sema,address argument to atomic operation must be a pointer to %select{|atomic }0integer (%1 invalid),false
